"Company
(Maker-if known)","Company
Location","Broad Bean
Origin","Specific Bean Origin
or Bar Name","Bean
Type","Cocoa
Percent",Rating,Flavours of Cocoa Rating System,"Review
Date",REF
Domori,Italy, ,Blend No. 1,Blend,78%,3,satisfactory,2008,272
Domori,Italy, ,Ilblend,Blend,70%,3.75,Praiseworthy,2008,272
Domori,Italy,Venezuela,Porcelana,Criollo (Porcelana),70%,4,Premium,2007,111
Domori,Italy,Venezuela,"Ocumare 61, Puertomar",Criollo (Ocumare 61),75%,3,satisfactory,2007,129
Domori,Italy,Venezuela,Granella,Trinitario,60%,3,satisfactory,2007,135
Domori,Italy,Madagascar,Madagascar,Trinitario,70%,3,satisfactory,2007,135
Domori,Italy,Madagascar,Madagared,Criollo,70%,3,satisfactory,2007,192
Domori,Italy,Indonesia,"Java, Javablond",Criollo,70%,3.75,Praiseworthy,2007,192
Domori,Italy,Ecuador,Ecuador,Forastero (Arriba),70%,4,Premium,2007,192
Domori,Italy,Venezuela,"Ocumare 67, Puertofino",Criollo (Ocumare 67),70%,4,Premium,2007,192
Domori,Italy,Venezuela,Sur del Lago Classificado,Trinitario,70%,3,satisfactory,2006,87
Domori,Italy,Peru,Apurimac,Trinitario,70%,3,satisfactory,2006,87
Domori,Italy,Venezuela,Carenero Superior,Trinitario,70%,3,satisfactory,2006,87
Dormouse,U.K.,Grenada,Non Pariel Estate,Trinitario,75%,3,satisfactory,2016,1880
Dormouse,U.K.,Venezuela,"Rio Caribe, Batch 7",Trinitario,70%,2,Disappointing,2015,1672
Dormouse,U.K.,Colombia,"Colombia, Batch 9","Criollo, Trinitario",80%,3,satisfactory,2015,1676
Dormouse,U.K.,Madagascar,"Madagascar, Batch 8","Criollo, Trinitario",77%,3,satisfactory,2015,1676
Duffy's,U.K.,Guatemala,"Rio Dulce, Xoco",Criollo,70%,4,Premium,2015,1662
Duffy's,U.K.,Nicaragua,"Chuno, Xoco",Criollo,70%,3,satisfactory,2014,1331
Duffy's,U.K.,Nicaragua,"Rico Rugoso, Xoco",Criollo,76%,3.75,Praiseworthy,2014,1331
Duffy's,U.K.,Venezuela,Ocumare, ,72%,3.75,Praiseworthy,2012,923
Duffy's,U.K.,Honduras,"Indio Rojo, Xoco",Criollo,72%,3.75,Praiseworthy,2011,623
Duffy's,U.K.,Dominican Republic,Dominican Republic, ,65%,3,satisfactory,2011,661
Duffy's,U.K.,Panama,"Bocas del Toro, Tierra Oscura", ,72%,3,satisfactory,2011,697
Duffy's,U.K.,Nicaragua,"Nicaliso, Xoco",Criollo,71%,3,satisfactory,2011,697
Duffy's,U.K.,Venezuela,Ocumare, ,71%,3,satisfactory,2011,765
Duffy's,U.K.,Panama,Panama, ,70%,3,satisfactory,2010,516
Duffy's,U.K.,Ecuador,"Corazon del Ecuador, Calceta beans", ,72%,3.75,Praiseworthy,2010,516
Duffy's,U.K.,Ecuador,Star of Ecuador, ,70%,2,Disappointing,2010,523
Duffy's,U.K.,Peru,Star of Peru, ,70%,3.75,Praiseworthy,2010,523
Dulcinea,U.S.A.,Dominican Republic,Dominican Republic, ,70%,3,satisfactory,2015,1506
Durand,France,Madagascar,Madagascar,Trinitario,82%,3,satisfactory,2012,841
Durci,U.S.A.,Peru,"Maranon, Joya Rara",Forastero (Nacional),70%,3,satisfactory,2015,1626
Durci,U.S.A.,Venezuela,"Rio Caribe, Tepui Treasure",Trinitario,70%,3,satisfactory,2015,1626
Durci,U.S.A.,Dominican Republic,Taino Secret, ,70%,3,satisfactory,2015,1630
Durci,U.S.A.,Venezuela,"Carenero, Empyrean Sabor",Trinitario,70%,3,satisfactory,2015,1630
Durci,U.S.A.,Ecuador,Corona Arriba, ,70%,4,Premium,2015,1630
East Van Roasters,Canada,Peru,Peru, ,70%,3,satisfactory,2014,1343
East Van Roasters,Canada,Madagascar,Madagascar,Trinitario,70%,3,satisfactory,2014,1343
East Van Roasters,Canada,Dominican Republic,Dominican Republic, ,70%,3.75,Praiseworthy,2014,1343
Eau de Rose,Canada,Colombia,Tumaco, ,70%,3,satisfactory,2016,1812
Eau de Rose,Canada,Colombia,Arauca, ,70%,3,satisfactory,2016,1812
Eclat (Felchlin),U.S.A.,Peru,"Maranon, Good & Evil, w/ nibs",Forastero (Nacional),72%,3,satisfactory,2012,919
Edelmond,Germany,Venezuela,Porcelana,Criollo,68%,3,satisfactory,2016,1876
El Ceibo,Bolivia,Bolivia,"Alto Beni, Covendo Region", ,75%,3.75,Praiseworthy,2011,709
El Ceibo,Bolivia,Bolivia,Alto Beni, ,71%,3,satisfactory,2008,252
El Rey,Venezuela,Venezuela,San Joaquin, ,70%,3.75,Praiseworthy,2015,1662
El Rey,Venezuela,Venezuela,"Rio Caribe, Cariaco",Trinitario,60.50%,3,satisfactory,2009,439
El Rey,Venezuela,Venezuela,"Rio Caribe, Macuro",Trinitario,70%,3,satisfactory,2009,439
El Rey,Venezuela,Venezuela,"Carenero Superior, Apamate",Criollo,74%,2,Disappointing,2008,206
El Rey,Venezuela,Venezuela,"Carenero Superior, Bucare",Criollo,58%,2,Disappointing,2008,206
El Rey,Venezuela,Venezuela,"Carenero Superior, Mijao",Criollo,61%,3,satisfactory,2008,206
El Rey,Venezuela,Venezuela,"Carenero Superior, Gran Saman",Criollo,70%,3,satisfactory,2006,32
Emerald Estate,St. Lucia,St. Lucia,Emerald Estate, ,60%,3,satisfactory,2013,1137
Emerald Estate,St. Lucia,St. Lucia,Emerald Estate, ,70%,3,satisfactory,2013,1137
Emily's,Japan,Venezuela,Patanemo, ,79%,3,satisfactory,2015,1450
Emily's,Japan,Peru,Peru,Criollo,78%,3,satisfactory,2015,1454
ENNA,U.S.A.,Honduras,"Wampusirpi, batch 007", ,75%,3,satisfactory,2016,1916
Enric Rovira (Claudio Corallo),Spain,Sao Tome & Principe,Terreiro Velho P.,Forastero,80%,3,satisfactory,2010,565
Erithaj (A. Morin),France,Vietnam,Ben Tre,Trinitario,70%,3,satisfactory,2014,1205
Erithaj (A. Morin),France,Vietnam,Ham Luong,Trinitario,80%,3,satisfactory,2014,1209
Erithaj (A. Morin),France,Vietnam,Ba Lai,Trinitario,74%,3,satisfactory,2014,1209
Escazu,U.S.A.,Venezuela,Rio Caribe,Trinitario,70%,3,satisfactory,2012,903
Escazu,U.S.A.,Costa Rica,Guapiles, ,65%,2,Disappointing,2009,414
Escazu,U.S.A.,Venezuela,Carenero Superior,Criollo,81%,3,satisfactory,2009,423
Escazu,U.S.A.,Costa Rica,"Carenero, Guapiles, Ocumare blend", ,74%,3,satisfactory,2009,431
Escazu,U.S.A.,Venezuela,Ocumare,Criollo,72%,3,satisfactory,2008,252
Ethel's Artisan (Mars),U.S.A.,Peru,"Peru, Madagascar", ,55%,2,Disappointing,2011,666
Ethel's Artisan (Mars),U.S.A.,Trinidad,Trinidad,Trinitario,55%,2,Disappointing,2011,666
Ethel's Artisan (Mars),U.S.A.,Venezuela,Porcelana,Criollo (Porcelana),70%,2,Disappointing,2011,666
Ethel's Artisan (Mars),U.S.A., ,Red Vanilla, ,62%,3,satisfactory,2011,666
Ethel's Artisan (Mars),U.S.A.,Venezuela,"Venezuela, Trinidad", ,62%,2,Disappointing,2011,672
Ethereal,U.S.A.,Belize,Belize,Trinitario,80%,3,satisfactory,2014,1275
Ethereal,U.S.A.,Ecuador,Ecuador, ,80%,3,satisfactory,2014,1275
Ethereal,U.S.A.,Dominican Republic,Dominican Republic, ,80%,3.75,Praiseworthy,2014,1275
Fearless (AMMA),U.S.A.,Brazil,"Monte Alegre, D. Badaro, Raw, Organic", ,75%,3,satisfactory,2010,565
Feitoria Cacao,Portugal,Jamaica,Blue Mountain, ,76%,3,satisfactory,2016,1732
Feitoria Cacao,Portugal,Venezuela,Cuyagua, ,76%,2,Disappointing,2016,1736
Feitoria Cacao,Portugal,Belize,Maya Mountain,Trinitario,76%,3,satisfactory,2016,1736
Felchlin,Switzerland,Grenada,Grenada,Trinitario,58%,3,satisfactory,2010,494
Felchlin,Switzerland, ,Supremo- SF, ,62%,2,Disappointing,2006,105
Felchlin,Switzerland,Dominican Republic,Elvesia P.,"Trinitario, Criollo",74%,3,satisfactory,2006,105
Felchlin,Switzerland,Madagascar,"Madagascar, Grand Cru",Criollo,64%,3,satisfactory,2006,48
Felchlin,Switzerland,Venezuela,Maracaibo Clasificado,Criollo,65%,3,satisfactory,2006,48
Felchlin,Switzerland,Ecuador,Arriba,Forastero (Arriba),72%,3,satisfactory,2006,48
Felchlin,Switzerland,Bolivia,"Alto Beni, Cru Savage",Criollo (Wild),68%,4,Premium,2006,56
Finca,U.S.A.,Puerto Rico,Puerto Rico, ,65%,2,Disappointing,2014,1283
Finca,U.S.A.,Dominican Republic,Dominican Republic, ,80%,3,satisfactory,2014,1283
Finca,U.S.A.,Dominican Republic,Dominican Republic, ,70%,3,satisfactory,2014,1283
Finca,U.S.A.,Dominican Republic,Dominican Republic, ,85%,2,Disappointing,2014,1287
Forever Cacao,U.K.,Peru,Rio Eni,Criollo,72%,3,satisfactory,2014,1267
Forteza (Cortes),Puerto Rico,Dominican Republic,Dominican Republic, ,70%,3,satisfactory,2016,1776
Forteza (Cortes),Puerto Rico,Dominican Republic,Puerto Rico, ,80%,3,satisfactory,2016,1776
Fossa,Singapore,Madagascar,"Akesson's E., Sambirano V.", ,70%,3,satisfactory,2016,1772
Fossa,Singapore,Ecuador,"Camino Verde P., Balao, Guayas", ,75%,3,satisfactory,2016,1776
Fossa,Singapore,Tanzania,"Kokoa Kamili Coop, Kilombero",Trinitario,67%,3.75,Praiseworthy,2016,1776
Franceschi,Venezuela,Venezuela,Choroni, ,70%,3,satisfactory,2014,1355
Franceschi,Venezuela,Venezuela,Ocumare, ,70%,3.75,Praiseworthy,2014,1355
Franceschi,Venezuela,Venezuela,Canoabo, ,70%,3.75,Praiseworthy,2012,911
Franceschi,Venezuela,Venezuela,Sur del Lago, ,60%,3,satisfactory,2012,915
Frederic Blondeel,Belgium,Costa Rica,Costa Rica, ,70%,3,satisfactory,2015,1538
Frederic Blondeel,Belgium,Peru,Peru Brutus, ,75%,3,satisfactory,2015,1538
Frederic Blondeel,Belgium,Vietnam,Vietnam,Trinitario,80%,3,satisfactory,2015,1542
Frederic Blondeel,Belgium,Ghana,Ghana,Forastero,60%,3,satisfactory,2014,1351
Frederic Blondeel,Belgium,Madagascar,Madagascar,Trinitario,65%,3,satisfactory,2014,1351
French Broad,U.S.A.,Peru,"Norandino, batch 161208", ,70%,3,satisfactory,2017,1940
French Broad,U.S.A.,Guatemala,Guatemala, ,73%,3,satisfactory,2015,1634
French Broad,U.S.A.,Costa Rica,San Andres, ,80%,3,satisfactory,2014,1209
French Broad,U.S.A.,Nicaragua,Matagalpa, ,68%,3,satisfactory,2014,1295
French Broad,U.S.A.,Peru,"Palo Blanco, Chulucanas", ,66%,3,satisfactory,2013,1042
French Broad,U.S.A.,Peru,Tumbes Coop,Criollo,70%,2,Disappointing,2012,883
French Broad,U.S.A.,Peru,"Palo Blanco, Chulucanas", ,61%,3,satisfactory,2012,883
French Broad,U.S.A.,Peru,"Palo Blanco w/ panela, Chulucanas", ,81%,2,Disappointing,2012,887
French Broad,U.S.A.,Peru,"Maranon Canyon, Fortunato No. 4",Forastero (Nacional),70%,3,satisfactory,2011,781
French Broad,U.S.A.,Dominican Republic,La Red, ,65%,3,satisfactory,2011,785
Fresco,U.S.A.,Peru,"Maranon, #228, MR, SC",Forastero (Nacional),70%,3,satisfactory,2014,1383
Fresco,U.S.A.,Peru,"Maranon, #227, LR, MC",Forastero (Nacional),70%,3,satisfactory,2014,1383
Fresco,U.S.A.,Peru,"Maranon, #229, MR, LC",Forastero (Nacional),70%,3,satisfactory,2014,1383
Fresco,U.S.A.,Peru,"Maranon, #230, DR, LC",Forastero (Nacional),70%,3,satisfactory,2014,1387
Fresco,U.S.A.,Dominican Republic,"Conacado, #223, MR, SC", ,72%,3,satisfactory,2013,1030
Fresco,U.S.A.,Dominican Republic,"Conacado, #224, MR, MC", ,72%,3.75,Praiseworthy,2013,1081
Fresco,U.S.A.,Peru,"San Martin, Bellavista Coop, #226, DR, MC", ,70%,3.75,Praiseworthy,2013,1117
Fresco,U.S.A.,Peru,"Bellavista Coop, #225, LR, MC, CG Exclusive",Trinitario,70%,4,Premium,2013,1149
Fresco,U.S.A.,Papua New Guinea,"Markham Valley, #219, LR, MC", ,69%,3,satisfactory,2012,899
Fresco,U.S.A.,Papua New Guinea,"Markham Valley, #221, DR, MC", ,69%,3,satisfactory,2012,899
Fresco,U.S.A.,Madagascar,"Sambirano Valley, #216, MR, LC",Trinitario,74%,4,Premium,2012,915
Fresco,U.S.A.,Papua New Guinea,"Markham Valley, #220, MR, MC",Trinitario,69%,4,Premium,2012,927
Fresco,U.S.A.,Papua New Guinea,"Markham Valley, #222, LR, 0C",Trinitario,69%,3,satisfactory,2012,931
Fresco,U.S.A.,Ghana,"Ghana, #211, MR, MC",Forastero,74%,3,satisfactory,2011,636
Fresco,U.S.A.,Jamaica,"Jamaica, #209, DR, SC",Trinitario,70%,3,satisfactory,2011,642
Fresco,U.S.A.,Dominican Republic,"Conacado, #212, LR, SC", ,72%,3,satisfactory,2011,642
Fresco,U.S.A.,Jamaica,"Jamaica, #210, DR, MC",Trinitario,70%,3,satisfactory,2011,642
Fresco,U.S.A.,Madagascar,"Sambirano Valley, #214, LR, MC",Trinitario,74%,3,satisfactory,2011,682
Fresco,U.S.A.,Dominican Republic,"Conacado, #213, DR, -C", ,72%,3,satisfactory,2011,682
Fresco,U.S.A.,Madagascar,"Sambirano Valley, #215, MR, MC",Trinitario,74%,3,satisfactory,2011,688
Fresco,U.S.A.,Venezuela,"Chuao, #218, MR, MC",Trinitario,76%,3,satisfactory,2011,745
Fresco,U.S.A.,Venezuela,"Chuao, #217, DR, MC",Trinitario,70%,4,Premium,2011,745
Fresco,U.S.A.,Jamaica,"Jamaica, #204, DR, SC",Trinitario,80%,3,satisfactory,2009,370
Fresco,U.S.A.,Jamaica,"Jamaica, #206, DR, LC",Trinitario,70%,3,satisfactory,2009,370
Fresco,U.S.A.,Jamaica,"Jamaica, #205, DR, MC",Trinitario,70%,3,satisfactory,2009,370
Fresco,U.S.A.,Venezuela,"Carenero Superior, #203, MR, SC",Criollo,65%,3,satisfactory,2009,370
Friis Holm (Bonnat),Denmark,Nicaragua,"Rugoso, Bad Fermentation", ,70%,3,satisfactory,2016,1912
Friis Holm (Bonnat),Denmark,Nicaragua,La Dalia, ,60%,3,satisfactory,2015,1680
Friis Holm (Bonnat),Denmark,Nicaragua,La Dalia, ,85%,3,satisfactory,2015,1680
Friis Holm (Bonnat),Denmark,Nicaragua,La Dalia, ,70%,3,satisfactory,2014,1259
Friis Holm (Bonnat),Denmark,Nicaragua,"Barba, Xoco", ,70%,3,satisfactory,2013,1034
Friis Holm (Bonnat),Denmark,Nicaragua,"Medagla, Xoco", ,70%,3,satisfactory,2013,1034
Friis Holm (Bonnat),Denmark,Nicaragua,"Chuno, triple turned, Xoco","Criollo, Trinitario",70%,3,satisfactory,2012,895
Friis Holm (Bonnat),Denmark,Honduras,"Red Mayan, Xoco","Criollo, Trinitario",70%,3,satisfactory,2012,899
Friis Holm (Bonnat),Denmark,Nicaragua,"Chuno, double turned, Xoco","Criollo, Trinitario",70%,3,satisfactory,2012,899
Friis Holm (Bonnat),Denmark,Nicaragua,"Rugoso, Xoco", ,70%,3.75,Praiseworthy,2012,923
Friis Holm (Bonnat),Denmark,Nicaragua,"Johe, Xoco","Criollo, Trinitario",70%,3,satisfactory,2011,623
Friis Holm (Bonnat),Denmark,Nicaragua,"Chuno, Xoco","Criollo, Trinitario",70%,3,satisfactory,2011,623
Friis Holm (Bonnat),Denmark,Nicaragua,"Nicaliso, Xoco","Criollo, Trinitario",70%,3,satisfactory,2011,623
Fruition,U.S.A.,Bolivia,"Wild Bolivian, Batch 2",Beniano,74%,3.75,Praiseworthy,2016,1780
Fruition,U.S.A.,Costa Rica,"Coto Brus, Heirloom, Batch 1",Amazon mix,74%,4,Premium,2016,1780
Fruition,U.S.A.,Trinidad,Gran Couva,Trinitario,70%,3.75,Praiseworthy,2014,1347
Fruition,U.S.A.,Peru,Maranon,Forastero (Nacional),76%,3,satisfactory,2014,1359
Fruition,U.S.A.,Dominican Republic,La Red, ,70%,3.75,Praiseworthy,2013,1046
Fruition,U.S.A.,Ecuador,Camino Verde, ,75%,3,satisfactory,2013,1185
Fruition,U.S.A.,Peru,Peru, ,70%,2,Disappointing,2012,863
Fruition,U.S.A.,Costa Rica,Signature Blend,Trinitario,66%,3,satisfactory,2011,753
Fruition,U.S.A.,Costa Rica,Costa Rica, ,70%,3,satisfactory,2011,781
Garden Island,U.S.A.,Hawaii,"Kaua'I, Alea Estate +world",Blend,85%,2,Disappointing,2014,1367
Georgia Ramon,Germany,Madagascar,Akesson P.,Trinitario,65%,3,satisfactory,2015,1642
Georgia Ramon,Germany,Ghana,ABOCFA Coop,Forastero,70%,4,Premium,2015,1642
Georgia Ramon,Germany,Dominican Republic,Conacado Coop,Trinitario,70%,3,satisfactory,2015,1646
Georgia Ramon,Germany,Dominican Republic,Conacado Coop,Trinitario,80%,3,satisfactory,2015,1646
Georgia Ramon,Germany,Madagascar,Akesson P.,Trinitario,75%,3,satisfactory,2015,1646
Glennmade,U.S.A.,Belize,"Toledo District, 2015 Harvest", ,70%,3,satisfactory,2016,1848
Glennmade,U.S.A.,Brazil,Bahia,"Trinitario, Forastero",66%,3,satisfactory,2015,1672
Goodnow Farms,U.S.A.,Mexico,"Almendra Blanca, batch 1004", ,77%,3,satisfactory,2016,1924
Goodnow Farms,U.S.A.,Nicaragua,"El Carmen, batch 1003", ,77%,3,satisfactory,2016,1924
Goodnow Farms,U.S.A.,Guatemala,"Asochivite, batch 1005", ,77%,3,satisfactory,2016,1924
Grand Place,Vietnam,Vietnam,"Ben Tre, Dong Nai",Trinitario,72%,3,satisfactory,2011,741
Green & Black's (ICAM),U.K., ,Dark, ,70%,2,Disappointing,2006,15
Green Bean to Bar,Japan,Madagascar,Madagascar, ,70%,3,satisfactory,2016,1896
Grenada Chocolate Co.,Grenada,Grenada,Grenada,Trinitario,82%,3,satisfactory,2010,494
Grenada Chocolate Co.,Grenada,Grenada,Grenada,Trinitario,60%,3,satisfactory,2009,363
Grenada Chocolate Co.,Grenada,Grenada,Grenada,Trinitario,71%,2,Disappointing,2008,241
Guido Castagna,Italy,Ecuador,Arriba,Forastero (Arriba) ASS,64%,3,satisfactory,2009,355
Guido Castagna,Italy,Ghana,Ghana,Forastero,64%,3,satisfactory,2009,355
Guido Castagna,Italy,"Trinidad, Tobago",Trinidad & Tobago, ,64%,3,satisfactory,2009,355
Guido Castagna,Italy,Venezuela,Lacri Blend, ,76%,3,satisfactory,2009,355
Guido Castagna,Italy,Venezuela,Blend, ,64%,3,satisfactory,2009,355
Guittard,U.S.A., ,"Epique, Blend No. 49", ,70%,3.75,Praiseworthy,2015,1602
Guittard,U.S.A.,Haiti,Haiti, ,65%,3,satisfactory,2013,1053
Guittard,U.S.A.,Nicaragua,Nicaragua, ,65%,3,satisfactory,2013,1053
Guittard,U.S.A.,Jamaica,Jamaica,Trinitario,65%,3,satisfactory,2013,1053
Guittard,U.S.A.,Ecuador,Ecuador, ,65%,3,satisfactory,2013,1053
Guittard,U.S.A., ,Coucher du Soleil, ,72%,3,satisfactory,2011,654
Guittard,U.S.A., ,Lever du Soleil, ,61%,3,satisfactory,2011,654
Guittard,U.S.A., ,Onyx, ,72%,3,satisfactory,2011,654
Guittard,U.S.A.,Trinidad,Trinidad,Trinitario,65%,3,satisfactory,2010,552
Guittard,U.S.A.,Hawaii,"O'ahu, N. Shore, Waialua E., Kakoleka", ,55%,3,satisfactory,2009,316
Guittard,U.S.A., ,Nocturne, ,91%,3,satisfactory,2009,387
Guittard,U.S.A., ,Complexite,Blend,70%,3,satisfactory,2009,387
Guittard,U.S.A.,Peru,Machu Pichu, ,65%,3,satisfactory,2008,259
Guittard,U.S.A., ,Special Maker Reserve, ,64%,3,satisfactory,2008,276
Guittard,U.S.A.,Venezuela,Ocumare, ,65%,3,satisfactory,2008,276
Guittard,U.S.A., ,Quetzalcoatl,Blend,72%,3,satisfactory,2007,147
Guittard,U.S.A.,Colombia,Chucuri,Trinitario,65%,3,satisfactory,2006,15
Guittard,U.S.A.,Venezuela,Sur del Lago,"Trinitario, Criollo",65%,2,Disappointing,2006,87
Guittard,U.S.A.,Madagascar,"Sambirano, Ambanja","Criollo, +",65%,3,satisfactory,2006,87
Guittard,U.S.A.,Ecuador,"Los Rios, Quevedo",Forastero (Arriba),65%,3,satisfactory,2006,93
Guittard,U.S.A., ,Tsaranta,Blend,61%,3,satisfactory,2006,93
Guittard,U.S.A., ,Semisweet,Blend,61%,3,satisfactory,2006,99
Habitual,Canada,Papua New Guinea,Papua New Guinea, ,80%,3,satisfactory,2014,1197
Habitual,Canada, ,Campesino w/ nibs, ,74%,3,satisfactory,2014,1197
Habitual,Canada,Dominican Republic,Dominican Republic, ,75%,3,satisfactory,2014,1197
Habitual,Canada, ,Trinitario,Trinitario,70%,3,satisfactory,2014,1197
Habitual,Canada, ,Downtown London, ,65%,3,satisfactory,2014,1201
Habitual,Canada, ,Africa meets Latina, ,70%,3,satisfactory,2014,1201
Habitual,Canada, ,Amazonas, ,80%,3,satisfactory,2014,1201
Habitual,Canada,Hawaii,Sharkey, ,66%,3,satisfactory,2014,1201
Habitual,Canada, ,one hundred, ,100%,2,Disappointing,2014,1205
Hachez,Germany,Ecuador,Arriba,Forastero (Arriba),77%,2,Disappointing,2007,166
Hacienda El Castillo,Ecuador,Ecuador,Don Homero- Cerecita Valley,Trinitario,55%,3,satisfactory,2014,1327
Hacienda El Castillo,Ecuador,Ecuador,Don Homero- Cerecita Valley,Trinitario,70%,3,satisfactory,2014,1327
Haigh,Australia,South America,South America and Africa, ,70%,3,satisfactory,2011,701
Harper Macaw,U.S.A.,Brazil,"Vale do Juliana, w/ nibs", ,85%,3,satisfactory,2016,1808
Harper Macaw,U.S.A.,Brazil,Brazil Blend, ,67%,3,satisfactory,2015,1696
Harper Macaw,U.S.A.,Brazil,"Tome Acu E., Amazon Rainforest", ,77%,3,satisfactory,2015,1700
Harper Macaw,U.S.A.,Brazil,"Vale do Juliana E., Atlantic Forest", ,74%,3,satisfactory,2015,1700
Heilemann,Germany,Peru,Peru, ,64%,3,satisfactory,2016,1876
Heirloom Cacao Preservation,U.S.A.,Hawaii,"Maunawili, O'ahu, Agri Research C., 2014", ,67%,3.75,Praiseworthy,2014,1243
Heirloom Cacao Preservation,U.S.A.,Hawaii,"Maunawili, O'ahu, Agri Research C., 2015", ,72%,3,satisfactory,2016,1744
Heirloom Cacao Preservation,U.S.A.,Bolivia,"Alto Beni, Upper Rio Beni, 2015","Amazon, ICS",68%,3.75,Praiseworthy,2016,1744
Heirloom Cacao Preservation ,U.S.A.,Belize,"Maya Mtn, Moho R., Toledo D., 2015",Amazon,70%,3,satisfactory,2016,1748
Heirloom Cacao Preservation ,U.S.A.,Costa Rica,"Cota Brus, Terciopelo, 2015",Amazon mix,74%,3,satisfactory,2016,1748
Heirloom Cacao Preservation ,U.S.A.,Bolivia,"Alto Beni, Upper Rio Beni, 2014","Amazon, ICS",67%,3,satisfactory,2014,1239
Heirloom Cacao Preservation ,U.S.A.,Bolivia,"Wild Beni, Lower Rio Beni, Tranquilidad, 2014",Beniano,67%,3,satisfactory,2014,1243
Heirloom Cacao Preservation ,U.S.A.,Ecuador,"Los Rios, Hacienda Limon, Orecao, 2014",EET,67%,3.75,Praiseworthy,2014,1243
Heirloom Cacao Preservation ,U.S.A.,Ecuador,"Los Rios, Hacienda Limon, Orecao, 2015",EET,70%,3,satisfactory,2016,1744
Heirloom Cacao Preservation ,U.S.A.,Ecuador,"Pinchincha, Mindo, Coop Nueva Esper., 2015",EET,77%,3,satisfactory,2016,1748
Heirloom Cacao Preservation ,U.S.A.,Bolivia,"Wild Beni, Lower Rio Beni, Tranquilidad, 2015",Beniano,72%,4,Premium,2016,1744
hello cocoa,U.S.A.,Uganda,Uganda,Forastero,57%,3,satisfactory,2015,1458
hello cocoa,U.S.A.,Venezuela,Venezuela,Criollo,74%,3,satisfactory,2015,1462
hexx,U.S.A.,Tanzania,Tanzania, ,70%,3,satisfactory,2015,1546
hexx,U.S.A.,Madagascar,Madagascar,Trinitario,74%,3,satisfactory,2015,1546
hexx,U.S.A.,Venezuela,Venezuela, ,70%,3,satisfactory,2015,1546
hexx,U.S.A.,Ecuador,Ecuador, ,73%,3,satisfactory,2015,1550
hexx,U.S.A.,Peru,Peru, ,70%,3,satisfactory,2015,1550
Hogarth,New Zealand,Madagascar,Akesson's Estate,Trinitario,70%,3,satisfactory,2016,1712
Hogarth,New Zealand,Venezuela,Carenero Superior,Trinitario,72%,3,satisfactory,2016,1712
Hogarth,New Zealand,Dominican Republic,Conacado,Trinitario,75%,3,satisfactory,2016,1712
Hogarth,New Zealand,Peru,Gran Blanco,Criollo,66%,3,satisfactory,2016,1712
Hoja Verde (Tulicorp),Ecuador,Ecuador,Arriba,Forastero (Arriba) ASS,80%,2,Disappointing,2009,414
Hoja Verde (Tulicorp),Ecuador,Ecuador,Manabi,Forastero (Arriba) ASS,80%,2,Disappointing,2009,414
Hoja Verde (Tulicorp),Ecuador,Ecuador,Arriba,Forastero (Arriba) ASS,72%,3,satisfactory,2009,414
Hoja Verde (Tulicorp),Ecuador,Ecuador,Arriba,Forastero (Arriba) ASS,58%,3,satisfactory,2009,414
Hoja Verde (Tulicorp),Ecuador,Ecuador,Manabi,Forastero (Arriba) ASS,58%,3,satisfactory,2009,414
Holy Cacao,Israel,Peru,Maranon, ,70%,3,satisfactory,2016,1872
Holy Cacao,Israel,Ecuador,"Camino Verde P., Balao, Guayas", ,70%,3,satisfactory,2015,1466
Holy Cacao,Israel,Madagascar,Sambirano,Trinitario,70%,3,satisfactory,2015,1466
Holy Cacao,Israel,Trinidad,Gran Couva,Trinitario,70%,3,satisfactory,2015,1466
Holy Cacao,Israel,Venezuela,Mara, ,70%,3,satisfactory,2015,1466
Holy Cacao,Israel,Ivory Coast,Ivory Coast, ,70%,2,Disappointing,2009,431
Holy Cacao,Israel,Dominican Republic,Hispaniola, ,70%,3,satisfactory,2009,431
Holy Cacao,Israel,Peru,San Martin, ,70%,3,satisfactory,2009,431
Holy Cacao,Israel,Dominican Republic,Hispaniola w/ nibs, ,75%,3.75,Praiseworthy,2009,431
Honest,South Africa,Ecuador,"Ecuador, w/ nibs", ,72%,2,Disappointing,2014,1327
Hotel Chocolat (Coppeneur),U.K.,St. Lucia,"Pepiniere, single Cote", ,70%,3,satisfactory,2015,1654
Hotel Chocolat (Coppeneur),U.K.,St. Lucia,"Marcial, single Cote, 2012",Trinitario,70%,4,Premium,2013,1030
Hotel Chocolat (Coppeneur),U.K.,St. Lucia,"Island Growers, 2012, 120hr c.",Trinitario,100%,2,Disappointing,2013,1113
Hotel Chocolat (Coppeneur),U.K.,Trinidad,Trinidad,Trinitario,75%,3,satisfactory,2013,1038
Hotel Chocolat (Coppeneur),U.K.,Vietnam,Mekong Delta & Dong Nai,Trinitario,80%,3,satisfactory,2013,1038
Hotel Chocolat (Coppeneur),U.K.,Ecuador,"Los Rios, H. Iara",Forastero (Nacional),90%,3,satisfactory,2013,1065
Hotel Chocolat (Coppeneur),U.K.,Madagascar,"Somia Plantation, Akesson, 2012",Trinitario,72%,3,satisfactory,2013,1065
Hotel Chocolat (Coppeneur),U.K.,Ecuador,"Los Rios, H. Iara, 2012",Forastero (Nacional),82%,3,satisfactory,2013,1065
